number,thumb,full
0484,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6491347--81fa438c7f8ab6c104762013be6d0d1cae5b307b6f81536fff4aa06b90c311f5.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6491347--81fa438c7f8ab6c104762013be6d0d1cae5b307b6f81536fff4aa06b90c311f5.jpeg/full/3500,/0/default.jpg"
0485,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6577893--c904bb33e7f7306b6255b1c18d4987648234f92cd70d2fa8211c3452c741909e.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6577893--c904bb33e7f7306b6255b1c18d4987648234f92cd70d2fa8211c3452c741909e.jpeg/full/3500,/0/default.jpg"
0486,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7011374--8156f93126142145e1d50a7995485a1b28a95de6163735646a30c025ca17ef6a.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7011374--8156f93126142145e1d50a7995485a1b28a95de6163735646a30c025ca17ef6a.jpeg/full/3500,/0/default.jpg"
0487,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6645710--6c6c2febc8fd6c7549751cb073926c9ce084c323234e08ea462930bff36e63eb.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6645710--6c6c2febc8fd6c7549751cb073926c9ce084c323234e08ea462930bff36e63eb.jpeg/full/3500,/0/default.jpg"
0488,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6645100--9a31acce4ba114269ac9895581ffbb1c579768a56a378a60048e2ca410d4436b.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6645100--9a31acce4ba114269ac9895581ffbb1c579768a56a378a60048e2ca410d4436b.jpeg/full/3500,/0/default.jpg"
0489,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6645100--9a31acce4ba114269ac9895581ffbb1c579768a56a378a60048e2ca410d4436b.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6645100--9a31acce4ba114269ac9895581ffbb1c579768a56a378a60048e2ca410d4436b.jpeg/full/3500,/0/default.jpg"
0490,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6776625--72bce422663470d9e8ee88a25616d92f657bc2b4f75dc012d8e960dec5214054.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6776625--72bce422663470d9e8ee88a25616d92f657bc2b4f75dc012d8e960dec5214054.jpeg/full/3500,/0/default.jpg"
0491,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6928496--3c895db37d0f24fd4198e1bd8e0820eb4edc891f1258650344c80e9f831e05c1.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6928496--3c895db37d0f24fd4198e1bd8e0820eb4edc891f1258650344c80e9f831e05c1.jpeg/full/3500,/0/default.jpg"
0492,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6898363--bf2a8e0e658a98028beb209f2eca86491a37d5b42698d999d733fa50593cd3d7.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6898363--bf2a8e0e658a98028beb209f2eca86491a37d5b42698d999d733fa50593cd3d7.jpeg/full/3500,/0/default.jpg"
0493,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7042325--302b35d8c3882c00ccb187009c31a30ec168b6e98d6af337865afc739a3f9c59.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7042325--302b35d8c3882c00ccb187009c31a30ec168b6e98d6af337865afc739a3f9c59.jpeg/full/3500,/0/default.jpg"
0494,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6953404--894d8b00ccd4eaee90f87f2bf3a9aa993b7569f9fb6d42f960be31ec20bd7b4d.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6953404--894d8b00ccd4eaee90f87f2bf3a9aa993b7569f9fb6d42f960be31ec20bd7b4d.jpeg/full/3500,/0/default.jpg"
